,Age Group,Sex,Year,Admissions
0,14 - 17,F,1986,48.0
1,14 - 17,M,1986,527.0
2,18 - 20,F,1986,130.0
3,18 - 20,M,1986,882.0
4,21 - 24,F,1986,277.0
5,21 - 24,M,1986,1731.0
6,25 - 29,F,1986,224.0
7,25 - 29,M,1986,2003.0
8,30 - 34,F,1986,115.0
9,30 - 34,M,1986,1642.0
10,35 - 39,F,1986,70.0
11,35 - 39,M,1986,1134.0
12,40 - 44,F,1986,28.0
13,40 - 44,M,1986,513.0
14,45 - 49,F,1986,19.0
15,45 - 49,M,1986,418.0
16,50 - 54,F,1986,14.0
17,50 - 54,M,1986,332.0
18,55 - 59,F,1986,12.0
19,55 - 59,M,1986,256.0
20,≧ 60,F,1986,7.0
21,≧ 60,M,1986,280.0
22,總計 Total,F,1986,944.0
23,總計 Total,M,1986,9718.0
24,總計 Total,Total,1986,10662.0
28,14 - 17,F,1991,84.0
29,14 - 17,M,1991,768.0
30,18 - 20,F,1991,204.0
31,18 - 20,M,1991,1279.0
32,21 - 24,F,1991,311.0
33,21 - 24,M,1991,2519.0
34,25 - 29,F,1991,254.0
35,25 - 29,M,1991,2775.0
36,30 - 34,F,1991,187.0
37,30 - 34,M,1991,1867.0
38,35 - 39,F,1991,108.0
39,35 - 39,M,1991,1319.0
40,40 - 44,F,1991,65.0
41,40 - 44,M,1991,877.0
42,45 - 49,F,1991,33.0
43,45 - 49,M,1991,383.0
44,50 - 54,F,1991,15.0
45,50 - 54,M,1991,242.0
46,55 - 59,F,1991,13.0
47,55 - 59,M,1991,164.0
48,≧ 60,F,1991,13.0
49,≧ 60,M,1991,168.0
50,總計 Total,F,1991,1287.0
51,總計 Total,M,1991,12361.0
52,總計 Total,Total,1991,13648.0
56,14 - 17,F,1996,156.0
57,14 - 17,M,1996,590.0
58,18 - 20,F,1996,533.0
59,18 - 20,M,1996,1283.0
60,21 - 24,F,1996,1075.0
61,21 - 24,M,1996,2246.0
62,25 - 29,F,1996,862.0
63,25 - 29,M,1996,2381.0
64,30 - 34,F,1996,558.0
65,30 - 34,M,1996,2108.0
66,35 - 39,F,1996,333.0
67,35 - 39,M,1996,1773.0
68,40 - 44,F,1996,242.0
69,40 - 44,M,1996,1460.0
70,45 - 49,F,1996,114.0
71,45 - 49,M,1996,955.0
72,50 - 54,F,1996,40.0
73,50 - 54,M,1996,359.0
74,55 - 59,F,1996,28.0
75,55 - 59,M,1996,253.0
76,≧ 60,F,1996,25.0
77,≧ 60,M,1996,246.0
78,總計 Total,F,1996,3966.0
79,總計 Total,M,1996,13654.0
80,總計 Total,Total,1996,17620.0
84,14 - 17,F,2001,260.0
85,14 - 17,M,2001,404.0
86,18 - 20,F,2001,1148.0
87,18 - 20,M,2001,757.0
88,21 - 24,F,2001,1404.0
89,21 - 24,M,2001,1795.0
90,25 - 29,F,2001,1252.0
91,25 - 29,M,2001,2367.0
92,30 - 34,F,2001,1224.0
93,30 - 34,M,2001,2021.0
94,35 - 39,F,2001,1073.0
95,35 - 39,M,2001,1772.0
96,40 - 44,F,2001,636.0
97,40 - 44,M,2001,1393.0
98,45 - 49,F,2001,464.0
99,45 - 49,M,2001,1113.0
100,50 - 54,F,2001,269.0
101,50 - 54,M,2001,705.0
102,55 - 59,F,2001,148.0
103,55 - 59,M,2001,291.0
104,≧ 60,F,2001,77.0
105,≧ 60,M,2001,286.0
106,總計 Total,F,2001,7955.0
107,總計 Total,M,2001,12904.0
108,總計 Total,Total,2001,20859.0
112,14 - 17,F,2006,185.0
113,14 - 17,M,2006,378.0
114,18 - 20,F,2006,723.0
115,18 - 20,M,2006,648.0
116,21 - 24,F,2006,1115.0
117,21 - 24,M,2006,1298.0
118,25 - 29,F,2006,1317.0
119,25 - 29,M,2006,2064.0
120,30 - 34,F,2006,1367.0
