,Offence Type,Sex,Year,Admissions
0,Violent crime against person,F,2001,33.0
1,Violent crime against person,M,2001,612.0
2,Violent crime against property,F,2001,13.0
3,Violent crime against property,M,2001,393.0
4,"Burglary, theft and handling stolen goods",F,2001,407.0
5,"Burglary, theft and handling stolen goods",M,2001,2319.0
6,Fraud and forgery,F,2001,108.0
7,Fraud and forgery,M,2001,313.0
8,Indecency (sexual offences),F,2001,605.0
9,Indecency (sexual offences),M,2001,1055.0
10,Drug offences,F,2001,302.0
11,Drug offences,M,2001,2687.0
12,Offences against lawful authority,F,2001,310.0
13,Offences against lawful authority,M,2001,336.0
14,Immigration offences,F,2001,5962.0
15,Immigration offences,M,2001,2887.0
16,Preventive crime,F,2001,3.0
17,Preventive crime,M,2001,209.0
18,Criminal damage,F,2001,1.0
19,Criminal damage,M,2001,54.0
20,Unlawful society offences,F,2001,1.0
21,Unlawful society offences,M,2001,64.0
22,Conspiracy,F,2001,46.0
23,Conspiracy,M,2001,94.0
24,Miscellaneous crimes,F,2001,164.0
25,Miscellaneous crimes,M,2001,1881.0
26,Total,F,2001,7955.0
27,Total,M,2001,12904.0
28,Total,Total,2001,20859.0
34,Violent crime against person,F,2006,75.0
35,Violent crime against person,M,2006,875.0
36,Violent crime against property,F,2006,18.0
37,Violent crime against property,M,2006,407.0
38,"Burglary, theft and handling stolen goods",F,2006,812.0
39,"Burglary, theft and handling stolen goods",M,2006,3216.0
40,Fraud and forgery,F,2006,183.0
41,Fraud and forgery,M,2006,374.0
42,Indecency (sexual offences),F,2006,908.0
43,Indecency (sexual offences),M,2006,816.0
44,Drug offences,F,2006,261.0
45,Drug offences,M,2006,1895.0
46,Offences against lawful authority,F,2006,457.0
47,Offences against lawful authority,M,2006,397.0
48,Immigration offences,F,2006,4899.0
49,Immigration offences,M,2006,3542.0
50,Preventive crime,F,2006,11.0
51,Preventive crime,M,2006,310.0
52,Criminal damage,F,2006,9.0
53,Criminal damage,M,2006,69.0
54,Unlawful society offences,F,2006,0.0
55,Unlawful society offences,M,2006,128.0
56,Conspiracy,F,2006,53.0
57,Conspiracy,M,2006,166.0
58,Miscellaneous crimes,F,2006,461.0
59,Miscellaneous crimes,M,2006,1886.0
60,Total,F,2006,8147.0
61,Total,M,2006,14081.0
62,Total,Total,2006,22228.0
68,Violent crime against person,F,2011,81.0
69,Violent crime against person,M,2011,776.0
